Pulse Ox data file Pulse000.csv code file /Users/g-gollin/SuperWoodchuckie2/_medicine/pulse_oximeter_2024_code/run_pulse_oximeter_2024_v5/run_pulse_oximeter_2024_v5.ino
Code date/time of last compilation was Feb 15 2024 22:07:59  DS3231 RTC date and time are 2024/2/16 (Friday)   4:08:18. temperature: 23.00*C or 73.40*F
N,t (ms),NIR I,white I,pulse ox light I,white light I,pulse ox 415,pulse ox 445,pulse ox 480,pulse ox 515,pulse ox clear0,pulse ox NIR0,pulse ox 555,pulse ox 590,pulse ox 630,pulse ox 680,pulse ox clear,pulse ox NIR,skin color 415,skin color 445,skin color 480,skin color 515,skin color clear0,skin color NIR0,skin color 555,skin color 590,skin color 630,skin color 680,skin color clear,skin color NIR,magic date
137,5987,9.749,-0.430,0,0,0,0,0,0,0,0,7,19,82,119,196,405,0,0,0,0,0,0,2,5,35,64,60,3,9188
138,6024,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,74,107,185,408,0,0,0,0,0,0,2,5,35,64,60,3,9188
139,6062,9.749,-0.430,0,0,0,0,0,0,0,0,6,19,77,112,190,414,0,0,0,0,0,0,2,5,35,64,60,3,9188
140,6099,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,73,105,183,415,0,0,0,0,0,0,2,5,35,64,60,3,9188
141,6140,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,73,106,184,422,0,0,0,0,0,0,2,5,35,64,60,3,9188
142,6178,9.749,-0.430,0,0,0,0,0,0,0,0,7,19,77,111,191,421,0,0,0,0,0,0,2,5,35,64,60,3,9188
143,6215,9.749,-0.430,0,0,0,0,0,0,0,0,6,19,74,107,188,423,0,0,0,0,0,0,2,5,35,64,60,3,9188
144,6252,9.749,-0.430,0,0,0,0,0,0,0,0,6,19,77,110,192,427,0,0,0,0,0,0,2,5,35,64,60,3,9188
145,6290,9.749,-0.430,0,0,0,0,0,0,0,0,6,19,75,108,191,432,0,0,0,0,0,0,2,5,35,64,60,3,9188
146,6327,9.749,-0.430,0,0,0,0,0,0,0,0,7,19,77,110,193,432,0,0,0,0,0,0,2,5,35,64,60,3,9188
147,6368,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,73,107,186,417,0,0,0,0,0,0,2,5,35,64,60,3,9188
148,6406,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,70,103,176,393,0,0,0,0,0,0,2,5,35,64,60,3,9188
149,6443,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,70,103,174,374,0,0,0,0,0,0,2,5,35,64,60,3,9188
150,6480,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,79,117,187,367,0,0,0,0,0,0,2,5,35,64,60,3,9188
151,6671,9.749,-0.430,0,0,0,0,0,0,0,0,7,20,90,130,201,375,0,0,0,0,0,0,2,5,35,64,60,3,9188
152,6710,9.749,-0.430,0,0,0,0,0,0,0,0,7,21,94,135,208,378,0,0,0,0,0,0,2,5,35,64,60,3,9188
153,6747,9.749,-0.430,0,0,0,0,0,0,0,0,7,21,96,139,211,381,0,0,0,0,0,0,2,5,35,64,60,3,9188
154,6785,9.749,-0.430,0,0,0,0,0,0,0,0,7,21,95,137,211,387,0,0,0,0,0,0,2,5,35,64,60,3,9188
155,6822,9.749,-0.430,0,0,0,0,0,0,0,0,8,21,98,141,217,392,0,0,0,0,0,0,2,5,35,64,60,3,9188
156,6859,9.749,-0.430,0,0,0,0,0,0,0,0,8,21,96,138,213,395,0,0,0,0,0,0,2,5,35,64,60,3,9188
157,6897,9.749,-0.430,0,0,0,0,0,0,0,0,8,22,99,143,219,399,0,0,0,0,0,0,2,5,35,64,60,3,9188
158,6938,9.749,-0.430,0,0,0,0,0,0,0,0,8,22,101,145,221,399,0,0,0,0,0,0,2,5,35,64,60,3,9188
159,6975,9.749,-0.430,0,0,0,0,0,0,0,0,8,22,97,138,214,402,0,0,0,0,0,0,2,5,35,64,60,3,9188
160,7013,9.749,-0.430,0,0,0,0,0,0,0,0,8,23,103,147,226,407,0,0,0,0,0,0,2,5,35,64,60,3,9188
161,7050,9.749,-0.430,0,0,0,0,0,0,0,0,8,22,98,141,219,414,0,0,0,0,0,0,2,5,35,64,60,3,9188
162,7087,9.749,-0.430,0,0,0,0,0,0,0,0,8,23,103,146,225,408,0,0,0,0,0,0,2,5,35,64,60,3,9188
163,7125,9.749,-0.430,0,0,0,0,0,0,0,0,7,20,91,133,206,383,0,0,0,0,0,0,2,5,35,64,60,3,9188
164,7166,9.749,-0.430,0,0,0,0,0,0,0,0,7,20,89,130,201,368,0,0,0,0,0,0,2,5,35,64,60,3,9188
165,7203,9.749,-0.430,0,0,0,0,0,0,0,0,7,20,94,137,206,364,0,0,0,0,0,0,2,5,35,64,60,3,9188
166,7241,9.749,-0.430,0,0,0,0,0,0,0,0,8,20,89,130,198,364,0,0,0,0,0,0,2,5,35,64,60,3,9188
167,7278,9.749,-0.430,0,0,0,0,0,0,0,0,7,20,95,138,207,364,0,0,0,0,0,0,2,5,35,64,60,3,9188
168,7315,9.749,-0.430,0,0,0,0,0,0,0,0,7,20,91,133,202,368,0,0,0,0,0,0,2,5,35,64,60,3,9188
169,7357,9.749,-0.430,0,0,0,0,0,0,0,0,7,20,93,135,206,375,0,0,0,0,0,0,2,5,35,64,60,3,9188
170,7394,9.749,-0.430,0,0,0,0,0,0,0,0,7,21,95,137,210,379,0,0,0,0,0,0,2,5,35,64,60,3,9188
171,7431,9.749,-0.430,0,0,0,0,0,0,0,0,7,21,94,136,209,379,0,0,0,0,0,0,2,5,35,64,60,3,9188
172,7469,9.749,-0.430,0,0,0,0,0,0,0,0,7,21,96,138,212,385,0,0,0,0,0,0,2,5,35,64,60,3,9188
173,7506,9.749,-0.430,0,0,0,0,0,0,0,0,8,22,97,140,214,391,0,0,0,0,0,0,2,5,35,64,60,3,9188
174,7543,9.749,-0.430,0,0,0,0,0,0,0,0,7,22,97,139,215,397,0,0,0,0,0,0,2,5,35,64,60,3,9188
175,7585,9.749,-0.430,0,0,0,0,0,0,0,0,8,22,97,139,215,404,0,0,0,0,0,0,2,5,35,64,60,3,9188
